team_name,long_name
Piast Gliwice,Waldemar Fornalik
UTA Arad,László György Balint
Universitatea Cluj,Eugen Neagoe
Shanghai Shenhua,Jingui Wu
Shanghai Shenhua FC,Jingui Wu
Unión Española,Gustavo Javier Canales Bustos
Radomiak Radom,Mariusz Lewandowski
Śląsk Wrocław,Ivan Djurdjevic
Shenzhen,Xiaorui Zhang
Shenzhen FC,Xiaorui Zhang
Gangwon,Yong-Soo Choi
Gangwon FC,Yong-Soo Choi
River Plate,Gustavo Díaz Domínguez
Quevilly Rouen,Olivier Echouafni
US Quevilly Rouen Métropole,Olivier Echouafni
Al Tai,Pedro Miguel Marques da Costa Filipe
RFC Seraing,José Jeunechamps
Royal Excel Mouscron,José Jeunechamps
Deportivo La Guaira,Daniel Alejandro Farías Acosta
Metropolitanos,José María Morr
Voluntari,Liviu Ciobotariu
FC Voluntari,Liviu Ciobotariu
Hermannstadt,Marius Constantin Măldărăşanu
AFC Hermannstadt,Marius Constantin Măldărăşanu
Always Ready,Óscar Villegas
Guaireña,Troadio Daniel Duarte
Independiente Petrolero,Rodrigo Venegas
U Craiova 1948,Nicolò Napoli
Bastia,Régis Brouard
SC Bastia,Régis Brouard
Kilmarnock,Derek McInnes
OB,Andreas Alm
Odense Boldklub,Andreas Alm
Widzew Lodz,Janusz Niedźwiedź
IFK Göteborg,Mikael Stahre
Osnabrück,Tobias Schweinsteiger
VfL Osnabrück,Tobias Schweinsteiger
Wehen Wiesbaden,Markus Kauczinski
SV Wehen Wiesbaden,Markus Kauczinski
Rot-Weiss Essen,Christoph Dabrowski
Elversberg,Horst Steffen
Livingston,David Martindale
Livingston FC,David Martindale
Ross County,Malky Mackay
Ross County FC,Malky Mackay
İstanbulspor,Osman Zeki Korkmaz
Strømsgodset,Håkon Wibe-Lund
Strømsgodset IF,Håkon Wibe-Lund
Milton Keynes Dons,Liam Manning
Niort,Ande Dona N'Doh
Chamois Niortais Football Club,Ande Dona N'Doh
MSV Duisburg,Torsten Ziegner
Cambridge United,Mark Bonner
Bristol Rovers,Joey Barton
Rheindorf Altach,Miroslav Klose
SC Rheindorf Altach,Miroslav Klose
Burton Albion,Dino Maamria
HJK,Toni Koskela
HJK Helsinki,Toni Koskela
Argeş,Marius Marian Croitoru
U Craiova 1948,Marius Marian Croitoru
St. Mirren,Stephen Robinson
Petrolul 52,Nicolae Constantin
Zwickau,Joe Enochs
FSV Zwickau,Joe Enochs
Meppen,Stefan Krämer
SV Meppen,Stefan Krämer
Wilstermann,Alberto Illanes
Caracas,Leonardo González
Estudiantes Mérida,Leonardo González
Deportivo Táchira,Alexandré Pallarés
Wanderers,Sergio Rubén Blanco Soto
Adelaide United,Thomas Veart
Rodez,Didier Santini
Aldosivi,Leandro Daniel Somoza
Club Atlético Aldosivi,Leandro Daniel Somoza
Wellington Phoenix,Ufuk Talay
Changchun Yatai,Yang Chen
Changchun Yatai FC,Yang Chen
Henan Jianye,Francisco Javier Pereira Mejía
Henan Songshan Longmen FC,Francisco Javier Pereira Mejía
Fleetwood Town,Scott Brown
Miedź Legnica,Grzegorz Mokry
Warta Poznań,Dawid Szulczek
Ñublense,Jaime García
Deportivo Ñublense,Jaime García
Nacional Asunción,Pedro Alcídes Sarabia Achucarro
Al Khaleej,Pedro Emanuel dos Santos Martins Silva
Al Adalh,Youssef Manai
Al Adalah,Youssef Manai
Chindia Târgovişte,Anton Petrea
AFC Chindia Târgoviște,Anton Petrea
Stal Mielec,Adam Majewski
Ayacucho,Edgar Ospina Echeverry
Royal Pari,Luis Marín Camacho
Delfin,Guillermo Duró
Mushuc Runa,Geovanny Patricio Cumbicus Castillo
9 de Octubre,David Dóniga Lara
Annecy,Laurent Guyot
Cerro Largo,Mario Daniel Saralegui Iriarte
Hermanos Colmenares,Horacio Matuszyczk
Exeter City,Gary Caldwell
Lincoln City,Mark Kennedy
Shamrock Rovers,Stephen Bradley
Morecambe,Derek Adams
Stevenage,Steve Evans
Forest Green Rovers,Ian Burchnall
Austria Lustenau,Markus Mader
Horsens,Jens Berthel Askou
AC Horsens,Jens Berthel Askou
Haugesund,Jostein Grindhaug
FK Haugesund,Jostein Grindhaug
Winterthur,Bruno Berner
Port Vale,Darrell Clarke
Northampton Town,Jon Brady
Stockport County,Dave Challinor
Cheltenham Town,Wade Elliott
Lyngby,Freyr Alexandersson
Lyngby BK,Freyr Alexandersson
Accrington Stanley,John Coleman
Hallescher FC,André Meyer
Verl,Michél Kniat
VfB Oldenburg,Dario Fossi
Borussia Dortmund II,Christian Preußer
Botoşani,Mihai Teja
FC Botoşani,Mihai Teja
Oriente Petrolero,Erwin Sánchez Freking
Sport Boys,Juan Carlos Alayo
Korona Kielce,Kamil Kuzera
Central Coast Mariners,Nick Montgomery
Newcastle Jets,Arthur Thomas Papastamatis
Perth Glory,Ruben Zadkovich
Sol de América,Alfredo Vera
Hangzhou,Jordi Vinyals Martori
Sarpsborg 08,Stefan Billborn
Sarpsborg 08 FF,Stefan Billborn
Antofagasta,Javier Luis Torrente
CD Antofagasta,Javier Luis Torrente
Al Batin,Alen Horvat
ATK Mohun Bagan,Juan Ferrando Fenol
Sirius,Daniel Bäckström
IK Sirius,Daniel Bäckström
Salford City,Neil Wood
Guabirá,Mauricio Soria Portillo
Macarthur,Ante Milicic
General Caballero JLM,Humberto Ovelar
Chengdu Qianbao,Jung-Won Seo
Doncaster Rovers,Danny Schofield
Tromsø,Gaute Ugelstad Helstrup
Tromsø IL,Gaute Ugelstad Helstrup
Helsingborg,Mattias Lindström
Helsingborgs IF,Mattias Lindström
China PR,Aleksandar Janković
Carlisle United,Paul Simpson
Aalesund,Lars Arne Nilsen
Aalesunds FK,Lars Arne Nilsen
Sandefjord,Andreas Tegström
Sandefjord Fotball,Andreas Tegström
Gillingham,Neil Harris
Walsall,Michael John Flynn
Bradford City,Mark Hughes
Swindon Town,Scott Lindsey
Colchester United,Matt Bloomfield
Mansfield Town,Nigel Clough
Wrexham,Phil Parkinson
Leyton Orient,Richard Wellens
Bayreuth,Thomas Kleine
Freiburg II,Thomas Stamm
Sutton United,Matt Gray
Värnamo,Kim Hellberg
AFC Wimbledon,Johnnie Jackson
Unión La Calera,Federico Vilar Baudena
Mumbai City,Des Buckingham
Mioveni,Flavius Vladimir Stoican
Kristiansund,Christian Michelsen
Kristiansund BK,Christian Michelsen
Degerfors,Andreas Holmberg
Grimsby Town,Paul Hurst
Crewe Alexandra,Alex Morris
Barrow,Peter Wild
Kalmar,Henrik Rydström
Kalmar FF,Henrik Rydström
Odd,Pal Arne Johansen
Odds BK,Pal Arne Johansen
HamKam,Jakob Michelsen
Hartlepool United,Keith Curle
Rochdale,Jim Bentley
Tranmere Rovers,Micky Mellon
Crawley Town,Matthew Etherington
Brisbane Roar,Warren Moon
Tianjin Teda,Genwei Yu
Tianjin Jinmen Tiger FC,Genwei Yu
Guangzhou Evergrande,Zhi Zheng
Guangzhou FC,Zhi Zheng
Harrogate Town,Simon Weaver
Newport County,Graham Coughlan
Guangzhou R&F,Weifeng Li
Wuhan Zall,Jinyu Li
Wuhan FC,Jinyu Li
Shijiazhuang Ever Bright,Svetozar Šapurić
Kerala Blasters,Ivan Vukomanovic
Hyderabad,Manuel Márquez Roca
Bengaluru,Simon Grayson
Varberg BoIS,Joakim Persson
Jerv,Arne Sandstø
St Patrick's,Tim Clancy
St. Patrick's Athletic,Tim Clancy
Derry City,Ruaidhri Higgins
Sligo Rovers,John Russell
Dundalk,David Mackey
Dundalk FC,David Mackey
GIF Sundsvall,Brian Clarhaut
Sangju Sangmu,Tae-Wan Kim
Sangju Sangmu FC,Tae-Wan Kim
Mjällby,Andreas Brännström
Mjällby AIF,Andreas Brännström
Dalian Professional,Hui Xie
Dalian Professional Football Club,Hui Xie
Goa,Carlos González Peña
Meizhou Hakka,Milan Ristić
Bohemians,Declan Devine
Seongnam,Chung Kyung-Ho
Seongnam FC,Chung Kyung-Ho
Chennaiyin,Thomas Brdarić
Shelbourne,Damien Duff
Odisha FC,Josep Gombau Balague
Jamshedpur,Aidy Boothroyd
Finn Harps,Ollie Horgan
East Bengal,Stephen Constantine
NorthEast United,Marco Balbul
Drogheda United,Kevin Doherty
Hebei CFFC,Jong-Boo Kim
Hebei FC,Jong-Boo Kim
UCD,Andrew Myler
UCD AFC,Andrew Myler
Aston Villa,Steven Gerrard
Wolverhampton Wanderers,Kelvin Davis
Southampton,Ralph Hasenhüttl
VfB Stuttgart,Pellegrino Matarazzo
Hellas Verona,Gabriele Cioffi
Santos,Orlando Ribeiro de Oliveira
Angers SCO,Gérald Baticle
Middlesbrough,Galileo Percovich
West Bromwich Albion,Richard Beale
Real Zaragoza,Juan Carlos Carcedo Mardones
Hajduk Split,Valdas Dambrauskas
Ascoli,Christian Bucchi
Hull City,Andy Dawson
Atlético Nacional,Alejandro Restrepo Mazo
Real Oviedo,Jon Andoni Pérez Alonso
Godoy Cruz,Sergio Gómez
SpVgg Greuther Fürth,Marc Schneider
América de Cali,Juan Carlos Osorio Arbeláez
Deportivo Cali,Rafael Edgar Dudamel Ochoa
Independiente Medellín,David Fernando Montoya
Platense,Omar De Felippe
Ternana,Cristiano Lucarelli
KV Oostende,Yves Vanderhaeghe
Cardiff City,Steve Morison
UD Ibiza,Javier Baraja Vegas
AIK,Henok Goitom
SC Cambuur,Henk de Jong
Zagłębie Lubin,Piotr Stokowiec
Miedź Legnica,Wojciech Łobodziński
Exeter City,Kevin Nicholson
Korona Kielce,Leszek Ojrzynski
Doncaster Rovers,Gary McSheffrey
Colchester United,Wayne Brown
Crawley Town,Lewis Jack Young
Newport County,Darren Kelly
Granada,Aitor Karanka de la Hoz
Granada CF,Aitor Karanka de la Hoz
Olympiakos Piraeus,José Miguel González Martín del Campo
Olympiacos CFP,José Miguel González Martín del Campo
Celta de Vigo,Eduardo Germán Coudet
RC Celta de Vigo,Eduardo Germán Coudet
Levante,Mehdi Nafti
Levante Unión Deportiva,Mehdi Nafti
Tigres UANL,Miguel Ernesto Herrera Aguirre
Tigres U.A.N.L.,Miguel Ernesto Herrera Aguirre
Montpellier,Olivier Dall’Oglio
Montpellier Hérault SC,Olivier Dall’Oglio
Monterrey,Víctor Manuel Vucetich Rojas
CF Monterrey,Víctor Manuel Vucetich Rojas
Rangers,Giovanni van Bronckhorst
Rangers FC,Giovanni van Bronckhorst
América,Fernando Ortiz
Club América,Fernando Ortiz
Brest,Michel Der Zakarian
Stade Brestois 29,Michel Der Zakarian
Reims,Óscar García Junyent
Stade de Reims,Óscar García Junyent
Greece,Gustavo Augusto Poyet Domínguez
Grêmio,Renato Portaluppi
Cruz Azul,Raul Erasto Jacobo Gutierrez
León,Renato Manuel Alves Paiva
Club León,Renato Manuel Alves Paiva
Venezia,Ivan Javorcic
Venezia FC,Ivan Javorcic
Troyes,Bruno Irles
ESTAC Troyes,Bruno Irles
Ceará,Luis Oscar González
Ceará Sporting Club,Luis Oscar González
Schalke 04,Frank Kramer
FC Schalke 04,Frank Kramer
Bahia,Eduardo de Souza Barroca
Toluca,Marcos Ignacio Ambriz Espinoza
Deportivo Toluca,Marcos Ignacio Ambriz Espinoza
Atlas,Diego Martín Cocca Pera
Club Atlas,Diego Martín Cocca Pera
Santos Laguna,Eduardo Fentanes Orozco
Pachuca,Jorge Guillermo Almada Álves
Nacional,Pablo Eduardo Repetto Aquino
Tijuana,Ricardo Alfredo Valiño
Club Tijuana,Ricardo Alfredo Valiño
Guadalajara,Ricardo Cadena Martínez
Club Deportivo Guadalajara,Ricardo Cadena Martínez
Pumas UNAM,Andrés Luciano Lillini
Club Universidad Nacional,Andrés Luciano Lillini
Paços de Ferreira,Paulo César da Silva Peixoto
FC Paços de Ferreira,Paulo César da Silva Peixoto
Göztepe,Turgay Altay
Göztepe SK,Turgay Altay
Hatayspor,Serkan Özbalta
Rizespor,Bülent Korkmaz
Çaykur Rizespor,Bülent Korkmaz
Junior,Arturo Ernesto Reyes Montero
Junior FC,Arturo Ernesto Reyes Montero
Puebla,Nicolás Ricardo Larcamón
Puebla FC,Nicolás Ricardo Larcamón
Juventude,Lucas Palavro Zanella
Kawasaki Frontale,Toru Oniki
Auxerre,Jean-Marc Furlan
AJ Auxerre,Jean-Marc Furlan
Moreirense,Paulo Lourenço Martins Alves
Moreirense FC,Paulo Lourenço Martins Alves
Ponferradina,José Manuel Martins Teixeira Gomes
SD Ponferradina,José Manuel Martins Teixeira Gomes
FCSB,Nicolae Constantin Dică
Necaxa,Jaime Arturo Lozano Espin
Club Necaxa,Jaime Arturo Lozano Espin
Vissel Kobe,Takayuki Yoshida
Yokohama F. Marinos,Kevin Muscat
Querétaro,Mauro Nestor Gerk Larrea
Gallos Blancos de Querétaro,Mauro Nestor Gerk Larrea
Mechelen,Danny Buijs
KV Mechelen,Danny Buijs
Urawa Reds,Ricardo Rodríguez Suárez
Urawa Red Diamonds,Ricardo Rodríguez Suárez
Tondela,António José Marreco Gouveia
CD Tondela,António José Marreco Gouveia
Atlético San Luis,André Soares Jardine
Club Atlético de San Luis,André Soares Jardine
Juárez,Rolando Hernán Cristante Mandarino
Fútbol Club Juárez,Rolando Hernán Cristante Mandarino
Mazatlán,Gabriel Esteban Caballero Schiker
Hansa Rostock,Jens Härtel
F.C. Hansa Rostock,Jens Härtel
Rapid Vienna,Ferdinand Feldhofer
SK Rapid Wien,Ferdinand Feldhofer
Belenenses,Fernando Manuel de Jesus Santos
Belenenses SAD,Fernando Manuel de Jesus Santos
Kortrijk,Adnan Čustović
KV Kortrijk,Adnan Čustović
Kashima Antlers,Daiki Iwamasa
Cerezo Osaka,Akio Kogiku
Nagoya Grampus,Kenta Hasegawa
Gamba Osaka,Hiroshi Matsuda
Chapecoense,Gilmar Dal Pozzo
Associação Chapecoense de Futebol,Gilmar Dal Pozzo
Joinville,Gilmar Dal Pozzo
Central Cordoba SdE,Abel Eduardo Balbo
Club Atlético Central Córdoba,Abel Eduardo Balbo
Erzgebirge Aue,Timo Rost
FC Erzgebirge Aue,Timo Rost
Willem II,Kevin Hofland
Heracles Almelo,Joannes Gerardus Adrianus Lammers
Altay,Sinan Kaloglu
Shimizu S-Pulse,Jose Ricardo Mannarino
Tokyo,Albert Puig Ortoneda
FC Tokyo,Albert Puig Ortoneda
Fuenlabrada,Baldomero Hermoso Herrera
CF Fuenlabrada,Baldomero Hermoso Herrera
Sion,Paolo Tramezzani
FC Sion,Paolo Tramezzani
Al Ahli Jeddah,Robert Dante Siboldi Badiola
Al Ahli,Robert Dante Siboldi Badiola
Al Faisaly,Daniel António Lopes Ramos
Sanfrecce Hiroshima,Michael Skibbe
Lausanne Sport,Ludovic Magnin
FC Lausanne-Sport,Ludovic Magnin
PEC Zwolle,Dick Schreuder
Real Sociedad II,Sergio Francisco Ramos
Crotone,Franco Lerda
Consadole Sapporo,Mihailo Petrović
Hokkaido Consadole Sapporo,Mihailo Petrović
Avispa Fukuoka,Shigetoshi Hasebe
Yeni Malatyaspor,Cihat Arslan
Amorebieta,Aritz Mújika López
Vejle,Ivan Prelec
Vejle Boldklub,Ivan Prelec
Nancy,Albert Cartier
AS Nancy Lorraine,Albert Cartier
Wisła Kraków,Jerzy Brzęczek
Hartberg,Klaus Schmidt
TSV Egger Glas Hartberg,Klaus Schmidt
Alcorcón,Francisco Javier Fernández Díaz
AD Alcorcón,Francisco Javier Fernández Díaz
Kashiwa Reysol,Nélson Baptista Júnior
UTA Arad,Ilie Poenaru
Gaz Metan Mediaş,Ilie Poenaru
Dunkerque,Romain Revelli
Rodez,Laurent Peyrelade
Rodez Aveyron Football,Laurent Peyrelade
Vegalta Sendai,Akira Ito
Sagan Tosu,Kenta Kawai
Shonan Bellmare,Satoshi Yamaguchi
Oita Trinita,Takahiro Shimotaira
Dundee,Gary Bowyer
Dundee FC,Gary Bowyer
SønderjyskE,Henrik Hansen
Argeş,Constantin Schumacher
Würzburger Kickers,Marco Wildersinn
FC Würzburger Kickers,Marco Wildersinn
Admira,Roberto Pätzold
FC Flyeralarm Admira,Roberto Pätzold
Gwangju,Jung-Hyo Lee
GwangJu FC,Jung-Hyo Lee
Nieciecza,Radoslav Látal
Bruk-Bet Termalica Nieciecza,Radoslav Látal
Tokushima Vortis,Daniel Poyatos Algaba
Yokohama,Shuhei Yomoda
Al Hazm,Roel Coumans
Al Hazem,Roel Coumans
Stabæk,Lars Roar Bohinen
Stabæk Fotball,Lars Roar Bohinen
Brann,Eirik Horneland
SK Brann,Eirik Horneland
Dinamo Bucureşti,Ovidiu Nicusor Burca
FC Dinamo 1948 Bucureşti,Ovidiu Nicusor Burca
Górnik Łęczna,Marcin Prasoł
Viktoria Berlin,Semih Keskin
Örebro,Christian Järdler
Örebro SK,Christian Järdler
Havelse,Philipp Gasde
Türkgücü-Ataspor,Alper Kayabunar
Halmstad,Magnus Haglund
Halmstads BK,Magnus Haglund
Oldham Athletic,David Unsworth
Guangzhou R&F,Jean-Paul van Gastel
Guangzhou City,Jean-Paul van Gastel
Östersunds FK,Magnus Powell
Bohemians,Trevor Croly
Bohemian FC,Trevor Croly
Scunthorpe United,Keith Hill
Mjøndalen,Kevin Andrew Nicol
Mjøndalen IF,Kevin Andrew Nicol
Academica Clinceni,Ionuț Chirilă
FC Academica Clinceni,Ionuț Chirilă
Goa,Derrick Pereira
Waterford United,Danny Searle
Waterford FC,Danny Searle
Qingdao Hainiu,Weijian Yang
Chongqing Dangdai Lifan,Woe-Ryong Chang
Chongqing Liangjiang Athletic,Woe-Ryong Chang
Longford Town,Gary Cronin
Russia,Valeriy Karpin
FC Rostov,Valeriy Karpin
CSKA Moskva,Vladimir Fedotov
PFC CSKA Moscow,Vladimir Fedotov
Spartak Moskva,Guillermo Abascal Perez
Lokomotiv Moskva,Joe Zinnbauer
FC Lokomotiv Moscow,Joe Zinnbauer
Bolívar,Antônio Carlos Zago
Universitario,Carlos Horacio Compagnucci
Palestino,Gustavo Adolfo Costas Makeira
Club Deportivo Palestino,Gustavo Adolfo Costas Makeira
Santa Fe,Martín Alejandro Cardetti
Club Independiente Santa Fe,Martín Alejandro Cardetti
Torque,Lucas Andres Nardi
12 de Octubre,Héctor Fernando Marecos Silvera
UTC Cajamarca,Marcelo Fabián Grioni
Cobresal,Gustavo Huerta Araya
Club de Deportes Cobresal,Gustavo Huerta Araya
Aucas,César Alejandro Farías Acosta
Fénix,José Ignacio Pallas Martínez
Huachipato,Mario Alfredo Salas Saieg
CD Huachipato,Mario Alfredo Salas Saieg
Deportivo Pasto,José Flavio Torres Díaz
Nacional Potosí,Flavio Horacio Robatto
Guayaquil City,Pool Geovanny Gavilánez Solís
Sport Huancayo,Mifflin Bermúdez Tucto
River Plate,Iván Almeida
Carlos Manucci,Jorge Remigio Pautasso
Macará,Julio Marcelo Fleitas Silveira
Municipal Vinto,Humberto Viviani Ribera
Rentistas,Julio Rodolfo Neme Moreno
Mineros de Guayana,Elías Jarol Rafael Emmons Cova
Aragua,Leonel Gerardo Vielma Peña
Academia Puerto Cabello,Juan Domingo Tolisano
Uruguay,Diego Martín Alonso López
Switzerland,Murat Yakin
Colombia,Néstor Gabriel Lorenzo
Turkey,Stefan Kuntz
Côte d'Ivoire,Jean-Louis Gasset
Chile,Manuel Eduardo Berizzo
Slovenia,Matjaž Kek
Paraguay,Guillermo Barros Schelotto
Egypt,Rui Carlos Pinho da Vitória
Ecuador,Gustavo Julio Alfaro
Peru,Juan Máximo Reynoso Guzmán
South Africa,Hugo Broos
Venezuela,José Néstor Pekerman
Chievo,Alfredo Aglietti
Chievo Verona,Alfredo Aglietti
Cameroon,Rigobert Song Bahanag
Coritiba,Augusto Sérgio Ferreira
Farense,Vasco Manuel Vilhena Faisca Teixeira
Botafogo,Luís Manuel Ribeiro de Castro
Gençlerbirliği,Taşkın Aksoy
Gençlerbirliği SK,Taşkın Aksoy
Goiás,Jair Zaksauskas Ribeiro Ventura
BB Erzurumspor,Muzaffer Bilazer
Nacional,Filipe Manuel Nunes Cândido
CD Nacional,Filipe Manuel Nunes Cândido
Castellón,Ruben Torrecilla Gonzalez
UD Logroñés,Alberto Aguilà Lalana
Bulgaria,Mladen Krstajić
Denizlispor,Mesut Bakkal
VVV-Venlo,Rick Kruijs
Waasland-Beveren,Wim De Decker
ADO Den Haag,Dirk Kuijt
Sabadell,Gabriel Francisco García de la Torre
CE Sabadell FC,Gabriel Francisco García de la Torre
Bolivia,Pablo Daniel Escobar Olivetti
Viitorul,Cătălin Cristian Anghel
FC Viitorul Constanța,Cătălin Cristian Anghel
Châteauroux,Mathieu Chabert
La Berrichonne de Châteauroux,Mathieu Chabert
St. Pölten,Stephan Helm
spusu SKN St. Pölten,Stephan Helm
Astra,George ?an?mare
AFC Astra Giurgiu,George ?an?mare
Uerdingen,Alexander Voigt
KFC Uerdingen 05,Alexander Voigt
Unterhaching,Sandro Wagner
SpVgg Unterhaching,Sandro Wagner
Al Quadisiya,Yousef Al Mannai
Al Qadisiyah,Yousef Al Mannai
Chambly,Fabien Valeri
FC Chambly Oise,Fabien Valeri
Start,Sindre Tjelmeland
IK Start,Sindre Tjelmeland
Bayern München II,Holger Seitz
FC Bayern München II,Holger Seitz
Podbeskidzie,Dariusz Zuraw
Podbeskidzie Bielsko-Biała,Dariusz Zuraw
Hamilton Academical,Stuart Taylor
Hamilton Academical FC,Stuart Taylor
Vaduz,Alessandro Mangiarratti
FC Vaduz,Alessandro Mangiarratti
Busan I'Park,Jin-Seop Park
Busan IPark,Jin-Seop Park
VfB Lübeck,Lukas  Pfeiffer
CSM Iaşi,Leontin Florian Grozavu
CSM Politehnica Iași,Leontin Florian Grozavu
Jiangsu Suning,Aurelian Cosmin Olăroiu
Jiangsu FC,Aurelian Cosmin Olăroiu
Southend United,Kevin Maher
Falkenberg,Christoffer Andersson
Falkenbergs FF,Christoffer Andersson
India,Igor Štimac
Cork City,Colin Healy
Vasco da Gama,Jorge José de Amorim Campos
Club de Regatas Vasco da Gama,Jorge José de Amorim Campos
Deportivo Binacional,Wilmar Valencia Pacheco
Millonarios,Alberto Miguel Gamero Morillo
Millonarios FC,Alberto Miguel Gamero Morillo
Sol de América,Pablo Horacio Guiñazú
Real Garcilaso,Pablo Peirano Pardeiro
Coquimbo Unido,Fernando Maximiliano Díaz Seguel
Plaza Colonia,Alejandro Martín Capuccio Díaz
Audax Italiano,Juan José Ribera
Caracas,Henry Antonio Meléndez Sanchez
Guaraní,Fernando Jubero Carmona
El Nacional,José Villafuerte
Sportivo Luqueño,Miguel Ángel Zahzú
Atlético Grau,Gustavo Álvarez
Zamora Fútbol Club,Noel Sanvicente Bethelmy
Blooming,Victor Hugo Antelo
Llaneros de Guanare,Edson Argenis Tortolero Román
Cruzeiro,Paulo César Pezzolano Suárez
CSA,Adriano Rodrigues da Silva
Centro Sportivo Alagoano,Adriano Rodrigues da Silva
Deportivo La Coruña,Óscar Pedro Cano Moreno
Deportivo de La Coruña,Óscar Pedro Cano Moreno
Vitória FC,Micael Martins Sequeira
Vitória de Setúbal,Micael Martins Sequeira
Morelia,Gabriel Ernesto Pereyra Vázquez
Monarcas Morelia,Gabriel Ernesto Pereyra Vázquez
Avaí,Luiz Carlos Cirne Lima de Lorenzi
Avaí FC,Luiz Carlos Cirne Lima de Lorenzi
Pescara,Alberto Colombo
Extremadura UD,Manuel Alfredo Moquera Bastida
Numancia,Diego Martínez Ruiz
CD Numancia,Diego Martínez Ruiz
Universidad Chile,Sebastián Miguel Miranda Córdova
Universidad de Chile,Sebastián Miguel Miranda Córdova
Once Caldas,Diego Andrés Corredor Hurtado
Pordenone,Domenico Di Carlo
O'Higgins,Mariano Soso
CD O'Higgins,Mariano Soso
Juve Stabia,Leonardo Colucci
Castellammare di Stabia,Leonardo Colucci
Rionegro Águilas,Johan Javier Fano Espinoza
Virtus Entella,Gennaro Volpe
Virtus Entella Chiavari,Gennaro Volpe
Esbjerg,Lars Vind
Esbjerg fB,Lars Vind
Le Mans,Cristiano Marques Gomes
Le Mans FC,Cristiano Marques Gomes
Orléans,Sébastien Dubroca
US Orléans Loiret Football,Sébastien Dubroca
Deportes Iquique,Patrick Rojas
Arka Gdynia,Ryszard Tarasiewicz
Gyeongnam,Ki-Hyeon Seol
Gyeongnam FC,Ki-Hyeon Seol
Envigado,José Alberto Suárez Giraldo
Envigado FC,José Alberto Suárez Giraldo
Patriotas Boyacá,Juan David Niño Casteblanco
Patriotas Boyacá FC,Juan David Niño Casteblanco
Alianza Petrolera,Hubert Antonio Bodhert Barrios
Curicó Unido,Damian Dario Munoz Galaz
Jaguares de Córdoba,César Fernando Torres Ramírez
Jaguares de Córdoba Fútbol Club,César Fernando Torres Ramírez
Atlético Bucaramanga,Néstor Oscar Craviotto
Neuchâtel Xamax,Jeff Saibene
Neuchâtel Xamax FCS,Jeff Saibene
Chemnitzer FC,Daniel Berlinski
Thun,Mauro Lustrinelli
FC Thun,Mauro Lustrinelli
Mattersburg,Franz Ponweiser
SV Mattersburg,Franz Ponweiser
Júbilo Iwata,Hiroki Shibuya
Cúcuta Deportivo,David Suárez Muñoz
Univ. Concepción,Miguel Mauricio Ramírez Pérez
CD Universidad de Concepción,Miguel Mauricio Ramírez Pérez
Matsumoto Yamaga,Hiroshi Nanami
Matsumoto Yamaga FC,Hiroshi Nanami
Preußen Münster,Sascha Hildmann
SC Preußen Münster,Sascha Hildmann
Veracruz,Enrique López Zarza
Tiburones Rojos de Veracruz,Enrique López Zarza
Carl Zeiss Jena,Andreas Patz
FC Carl Zeiss Jena,Andreas Patz
Sonnenhof Großaspach,Hans-Jürgen Boysen
SG Sonnenhof Großaspach,Hans-Jürgen Boysen
Hobro,Martin Thomsen
Hobro IK,Martin Thomsen
ŁKS Łódź,Kazimierz Moskal
Ranheim,Hugo Carlos Rodrigues Ganchinho Pereira
Ranheim Fotball,Hugo Carlos Rodrigues Ganchinho Pereira
Atlético Huila,José Fernando Santa Robledo
Macclesfield Town,Tim Flowers
Unión Magdalena,Carlos Alberto Silva Socarrás
Club Unión Magdalena S.A,Carlos Alberto Silva Socarrás
AFC Eskilstuna,Jawad Al Jebouri
Tianjin Quanjian,Xueyu Liu
Tianjin Quanjian FC,Xueyu Liu
Beijing Renhe,Bo Wang
Beijing Renhe FC,Bo Wang
Bursaspor,Tahsin Tam
Vitória,João Batista Donizete Dressler Burse
Paraná,José Omar Feitosa Alves
Sport Club do Recife,Claudinei dos Santos Oliveira
Akhisar Belediyespor,Mustafa Ati Göksu
Sporting Lokeren,Glen De Boeck
CD Feirense,Rui Vítor da Silva Ferreira
Gimnàstic de Tarragona,Raúl Agné Montull
CF Rayo Majadahonda,Alfredo Santaelena Aguado
Foggia,Fabio Gallo
Belgrano de Córdoba,Guillermo Martín Farré
Lobos BUAP,Juan Francisco Palencia Hernández
Córdoba CF,Germán Crespo Sánchez
NAC Breda,Robert Molenaar
San Martín de San Juan,Raúl Adolfo Antuña
San Martin de Tucumán,Pablo Daniel de Muner
Carpi,Sebastiano Siviglia
De Graafschap,Adrie Poldervaart
Jeonnam Dragons,Jang-Gwan Lee
GFC Ajaccio,Stéphane Paganelli
VfR Aalen,Tobias Cramer
FC Wacker Innsbruck,Michael Oenning
Ohod Club,Youssef Anbar
AS Béziers,Alain Negre
SC Fortuna Köln,Markus von Ahlen
VfL Sportfreunde Lotte,Jens Tiemann-Gorny
Red Star FC,Vincent Bordot
Vendsyssel FF,Henrik Pedersen
Club Deportes Temuco,Fabián Avendaño
FC Energie Cottbus,Claus-Dieter Wollitz
Notts County,Luke Williams
Zagłębie Sosnowiec,Artur Skowronek
Guizhou Zhicheng FC,Mao Chen
Boyacá Chicó FC,Mario Humberto García Caboara
V-Varen Nagasaki,Fábio Carille
Yeovil Town,Chris Hargreaves
Trelleborgs FF,Dan Kristian Haynes
